Province_ID,No,Kabupaten/Kota,Jumlah Koperasi,Koperasi Memiliki NIB,Koperasi Memiliki NPWP,Koperasi Telah RAT (2025),Simpanan Pokok,Simpanan Wajib,Volume Transaksi (2026),Nilai Transaksi (2026)
2,27,KOTA GUNUNGSITOLI,101,51,98,26,600.000,40.000,10.600,Rp 121.700.000
2,28,KOTA MEDAN,151,151,151,131,2.585.000,2.025.000,27.340,Rp 343.290.000
2,29,KOTA PADANG SIDEMPUAN,79,58,79,37,140.000,700.000,368.230,Rp 4.480.546.000
2,30,KOTA PEMATANGSIANTAR,53,50,53,7,4.600.000,140.000,32.760,Rp 417.480.000
2,31,KOTA SIBOLGA,17,11,17,12,150.000,10.000,0,Rp 0
2,32,KOTA TANJUNG BALAI,31,23,31,30,50.000,100.000,41.020,Rp 527.565.000
2,33,KOTA TEBING TINGGI,35,33,35,34,1.550.000,140.000,0,Rp 0
3,1,KAB. AGAM,95,78,95,91,80.260.000,29.660.000,17.595,Rp 255.197.500
3,2,KAB. DHARMASRAYA,52,39,52,51,7.550.000,820.000,188.516,Rp 482.802.800
3,3,KAB. KEPULAUAN MENTAWAI,43,37,43,43,0,0,16.150,Rp 28.382.560
3,4,KAB. LIMA PULUH KOTA,79,77,79,79,88.800.000,22.560.000,0,Rp 0
3,5,KAB. PADANG PARIAMAN,103,97,103,101,40.680.000,14.765.000,152.554,Rp 278.133.200
3,6,KAB. PASAMAN,62,47,62,62,34.512.100,21.405.000,20.776,Rp 301.846.000
3,7,KAB. PASAMAN BARAT,90,76,90,88,24.450.000,5.070.000,2.625,Rp 38.892.500
3,8,KAB. PESISIR SELATAN,182,159,182,182,61.400.000,27.188.000,1.439,Rp 11.801.200
3,9,KAB. SIJUNJUNG,62,61,62,62,3.750.000,2.700.000,34.350,Rp 492.980.000
3,10,KAB. SOLOK,74,62,74,74,9.250.000,6.150.000,91.640,Rp 234.490.500
3,11,KAB. SOLOK SELATAN,41,35,41,39,12.175.000,3.550.000,0,Rp 0
3,12,KAB. TANAH DATAR,75,73,75,75,44.460.000,22.240.000,55.214,Rp 791.694.000
3,13,KOTA BUKITTINGGI,24,24,24,22,3.000.000,2.380.000,468,Rp 7.215.600
3,14,KOTA PADANG,104,104,104,103,34.440.000,15.900.000,27.954,Rp 562.213.500
3,15,KOTA PADANG PANJANG,16,15,16,16,11.100.000,4.100.000,0,Rp 0
3,16,KOTA PARIAMAN,71,71,71,71,25.200.000,12.865.000,0,Rp 0
3,17,KOTA PAYAKUMBUH,47,45,47,47,18.500.000,9.630.000,0,Rp 0
3,18,KOTA SAWAHLUNTO,37,37,37,37,0,0,0,Rp 0
3,19,KOTA SOLOK,13,12,13,13,0,0,2.500,Rp 36.997.500
4,1,KAB. BENGKALIS,155,106,154,127,12.530.800,3.380.000,0,Rp 0
4,2,KAB. INDRAGIRI HILIR,237,73,237,134,166.145.000,8.485.000,164,Rp 18.025.000
4,3,KAB. INDRAGIRI HULU,193,74,193,140,13.960.000,4.395.000,1.610,Rp 26.100.000
4,4,KAB. KAMPAR,250,150,250,137,173.890.300,36.840.000,0,Rp 0
4,5,KAB. KEPULAUAN MERANTI,102,58,102,48,3.341.878,585.000,0,Rp 0
4,6,KAB. KUANTAN SINGINGI,229,129,229,159,13.420.000,7.160.000,0,Rp 0
4,7,KAB. PELALAWAN,119,66,119,92,15.755.000,9.395.000,0,Rp 0
4,8,KAB. ROKAN HILIR,185,142,185,27,101.370.000,1.430.000,0,Rp 0
4,9,KAB. ROKAN HULU,145,98,145,38,94.920.000,27.690.000,37.882,Rp 43.927.000
4,10,KAB. SIAK,132,98,131,67,19.735.000,11.790.000,0,Rp 0
4,11,KOTA DUMAI,36,34,36,13,4.800.000,1.000.000,0,Rp 0
4,12,KOTA PEKANBARU,83,81,83,82,12.660.000,6.090.000,120,Rp 1.860.000
5,1,KAB. BATANG HARI,124,78,124,8,44.701.600,11.745.300,0,Rp 0
5,2,KAB. BUNGO,154,96,154,38,9.040.000,2.230.000,0,Rp 0
5,3,KAB. KERINCI,287,226,287,228,93.025.000,10.755.080,0,Rp 0
5,4,KAB. MERANGIN,215,130,215,57,74.800.000,24.870.000,14.454,Rp 27.684.000
5,5,KAB. MUARO JAMBI,158,91,155,84,41.365.000,20.740.020,37,Rp 659.200
5,6,KAB. SAROLANGUN,158,123,157,15,600.000,160.000,0,Rp 0
5,7,KAB. TANJUNG JABUNG BARAT,137,128,137,124,20.560.000,5.770.000,0,Rp 0
5,8,KAB. TANJUNG JABUNG TIMUR,92,34,92,68,85.350.000,46.450.000,1,Rp 550.000
5,9,KAB. TEBO,129,72,129,74,28.690.000,10.655.000,801,Rp 15.515.000
5,10,KOTA JAMBI,68,43,67,52,37.200.000,26.820.000,0,Rp 0
5,11,KOTA SUNGAI PENUH,69,38,69,64,10.925.000,8.330.000,0,Rp 0
